sku_id,store_id,allocation
SKU_005,ST_063,58
SKU_007,ST_063,58
SKU_002,ST_045,58
SKU_015,ST_040,57
SKU_011,ST_007,57
SKU_018,ST_058,57
SKU_008,ST_008,55
SKU_019,ST_016,55
SKU_005,ST_039,55
SKU_019,ST_045,54
SKU_008,ST_070,54
SKU_014,ST_029,54
SKU_014,ST_002,54
SKU_011,ST_064,54
SKU_011,ST_008,47
SKU_016,ST_064,52
SKU_007,ST_075,51
SKU_018,ST_053,51
SKU_005,ST_071,49
SKU_002,ST_008,49
SKU_002,ST_027,13
SKU_020,ST_027,49
SKU_004,ST_054,48
SKU_008,ST_060,48
SKU_004,ST_025,48
SKU_004,ST_026,46
SKU_012,ST_052,46
SKU_010,ST_015,45
SKU_009,ST_010,45
SKU_004,ST_080,45
SKU_004,ST_064,12
SKU_005,ST_016,45
SKU_006,ST_016,43
SKU_007,ST_010,43
SKU_006,ST_052,43
SKU_016,ST_053,42
SKU_017,ST_047,42
SKU_013,ST_010,42
SKU_017,ST_058,40
SKU_020,ST_054,40
SKU_017,ST_006,40
SKU_016,ST_061,40
SKU_008,ST_071,40
SKU_016,ST_048,39
SKU_007,ST_029,39
SKU_007,ST_053,39
SKU_003,ST_037,39
SKU_001,ST_009,39
SKU_007,ST_026,27
SKU_015,ST_011,39
SKU_017,ST_022,39
SKU_013,ST_001,39
SKU_020,ST_011,38
SKU_001,ST_070,38
SKU_014,ST_027,38
SKU_006,ST_027,15
SKU_005,ST_058,23
SKU_016,ST_011,38
SKU_012,ST_027,38
SKU_009,ST_016,38
SKU_001,ST_034,37
SKU_010,ST_041,37
SKU_001,ST_018,37
SKU_003,ST_047,37
SKU_016,ST_039,37
SKU_015,ST_033,37
SKU_013,ST_049,37
SKU_012,ST_054,37
SKU_012,ST_063,37
SKU_019,ST_034,36
SKU_015,ST_030,36
SKU_014,ST_056,36
SKU_016,ST_016,18
SKU_012,ST_016,36
SKU_014,ST_053,36
SKU_008,ST_011,36
SKU_017,ST_042,27
SKU_013,ST_022,36
SKU_014,ST_020,12
SKU_009,ST_071,36
SKU_001,ST_076,36
SKU_008,ST_076,35
SKU_001,ST_002,5
SKU_019,ST_029,35
SKU_003,ST_016,35
SKU_012,ST_034,35
SKU_020,ST_039,34
SKU_015,ST_002,34
SKU_020,ST_035,34
SKU_015,ST_078,31
SKU_019,ST_011,34
SKU_019,ST_039,15
SKU_009,ST_002,34
SKU_008,ST_063,23
SKU_012,ST_023,34
SKU_003,ST_007,34
SKU_010,ST_007,34
SKU_009,ST_073,4
SKU_010,ST_075,34
SKU_010,ST_045,33
SKU_010,ST_071,5
SKU_020,ST_036,15
SKU_012,ST_038,24
SKU_003,ST_002,29
