sku_id,store_id,allocation
SKU_8,ST_18,19
SKU_8,ST_20,19
SKU_5,ST_7,19
SKU_3,ST_9,19
SKU_1,ST_1,18
SKU_1,ST_4,18
SKU_1,ST_16,18
SKU_2,ST_3,18
SKU_2,ST_16,18
SKU_3,ST_10,17
SKU_7,ST_4,17
SKU_5,ST_9,17
SKU_1,ST_14,10
SKU_7,ST_9,17
SKU_7,ST_13,17
SKU_8,ST_4,16
SKU_7,ST_11,17
SKU_7,ST_3,11
SKU_2,ST_14,16
SKU_4,ST_6,16
SKU_2,ST_9,16
SKU_8,ST_10,16
SKU_8,ST_11,16
SKU_2,ST_10,15
SKU_5,ST_3,12
SKU_5,ST_14,15
SKU_4,ST_15,15
SKU_2,ST_17,15
SKU_2,ST_20,12
SKU_4,ST_20,14
SKU_4,ST_16,14
SKU_5,ST_17,10
SKU_8,ST_15,13
SKU_6,ST_1,13
SKU_3,ST_1,13
SKU_6,ST_9,2
SKU_3,ST_6,12
SKU_6,ST_20,12
SKU_3,ST_15,4
SKU_6,ST_5,11
SKU_3,ST_8,11
SKU_6,ST_19,10
SKU_3,ST_17,10
SKU_6,ST_16,9
SKU_6,ST_10,9
SKU_3,ST_19,9
SKU_4,ST_1,6
SKU_8,ST_13,9
SKU_3,ST_7,8
SKU_4,ST_2,8
SKU_6,ST_14,8
SKU_3,ST_11,8
SKU_6,ST_12,7
SKU_3,ST_20,7
SKU_6,ST_6,7
SKU_3,ST_18,7
SKU_6,ST_13,6
SKU_6,ST_2,6
SKU_8,ST_14,5
SKU_4,ST_14,5
SKU_4,ST_7,5
SKU_3,ST_16,5
SKU_4,ST_19,5
SKU_6,ST_17,1
SKU_4,ST_8,3
SKU_4,ST_13,3
SKU_3,ST_12,2
SKU_4,ST_11,3
SKU_6,ST_11,1
SKU_4,ST_18,1
SKU_4,ST_12,1
SKU_4,ST_5,1
