sku_id,store_id,allocation
SKU_18,ST_1,29
SKU_2,ST_1,28
SKU_7,ST_1,28
SKU_6,ST_1,18
SKU_6,ST_1,25
SKU_12,ST_1,20
SKU_2,ST_2,27
SKU_9,ST_2,25
SKU_5,ST_2,24
SKU_13,ST_2,7
SKU_9,ST_2,25
SKU_3,ST_2,11
SKU_11,ST_3,23
SKU_6,ST_3,21
SKU_8,ST_3,7
SKU_4,ST_4,21
SKU_14,ST_4,21
SKU_13,ST_4,5
SKU_16,ST_4,19
SKU_20,ST_4,2
SKU_2,ST_5,29
SKU_4,ST_5,28
SKU_9,ST_5,27
SKU_15,ST_5,20
SKU_2,ST_5,29
SKU_6,ST_5,16
SKU_9,ST_6,29
SKU_15,ST_6,29
SKU_12,ST_6,20
SKU_12,ST_6,29
SKU_6,ST_6,5
SKU_10,ST_7,19
SKU_14,ST_7,19
SKU_8,ST_7,4
SKU_8,ST_7,19
SKU_9,ST_8,11
SKU_16,ST_8,27
SKU_6,ST_8,25
SKU_2,ST_8,19
SKU_20,ST_8,18
SKU_13,ST_9,29
SKU_14,ST_9,29
SKU_5,ST_9,25
SKU_2,ST_9,19
SKU_16,ST_9,17
SKU_16,ST_10,29
SKU_19,ST_10,29
SKU_3,ST_10,28
SKU_14,ST_10,5
SKU_1,ST_11,29
SKU_3,ST_11,29
SKU_18,ST_11,14
SKU_10,ST_12,20
SKU_17,ST_12,20
SKU_16,ST_12,6
SKU_16,ST_12,20
SKU_12,ST_12,1
SKU_10,ST_13,26
SKU_6,ST_13,26
SKU_13,ST_13,21
SKU_4,ST_13,1
SKU_17,ST_14,27
SKU_20,ST_14,25
SKU_7,ST_14,13
SKU_18,ST_15,28
SKU_1,ST_15,27
SKU_10,ST_15,27
SKU_15,ST_15,13
SKU_1,ST_15,27
SKU_7,ST_15,15
SKU_20,ST_16,28
SKU_16,ST_16,12
SKU_12,ST_16,26
SKU_6,ST_16,26
SKU_10,ST_16,6
SKU_17,ST_17,29
SKU_10,ST_17,2
SKU_18,ST_17,27
SKU_15,ST_17,8
SKU_1,ST_17,22
SKU_3,ST_17,7
SKU_1,ST_18,28
SKU_12,ST_18,27
SKU_18,ST_18,21
SKU_17,ST_19,19
SKU_8,ST_19,17
SKU_13,ST_19,8
SKU_4,ST_20,13
SKU_17,ST_20,13
SKU_5,ST_20,12
SKU_7,ST_20,4
SKU_7,ST_20,12
SKU_6,ST_20,7
SKU_20,ST_21,10
SKU_4,ST_21,18
SKU_6,ST_21,14
SKU_13,ST_21,3
SKU_19,ST_21,15
SKU_17,ST_21,5
SKU_4,ST_22,28
SKU_3,ST_22,28
SKU_8,ST_22,23
SKU_3,ST_22,28
SKU_1,ST_22,6
SKU_15,ST_23,20
SKU_19,ST_23,20
SKU_5,ST_23,4
SKU_3,ST_23,9
SKU_8,ST_23,8
SKU_7,ST_23,2
SKU_1,ST_24,28
SKU_18,ST_24,25
SKU_19,ST_24,22
SKU_4,ST_24,4
SKU_5,ST_25,29
SKU_1,ST_25,5
SKU_11,ST_25,28
SKU_8,ST_25,23
SKU_11,ST_25,28
SKU_17,ST_25,9
SKU_4,ST_26,24
SKU_7,ST_26,24
SKU_12,ST_26,5
SKU_12,ST_26,23
SKU_15,ST_26,1
SKU_7,ST_27,3
SKU_13,ST_27,27
SKU_8,ST_27,22
SKU_11,ST_27,21
SKU_4,ST_27,19
SKU_5,ST_27,12
SKU_8,ST_27,22
SKU_12,ST_27,15
SKU_3,ST_27,8
SKU_4,ST_28,10
SKU_18,ST_28,27
SKU_17,ST_28,21
SKU_12,ST_28,14
SKU_12,ST_28,7
SKU_8,ST_28,22
SKU_3,ST_28,2
SKU_15,ST_29,27
SKU_19,ST_29,24
SKU_5,ST_29,14
SKU_3,ST_29,3
SKU_13,ST_30,29
SKU_3,ST_30,28
SKU_18,ST_30,9
SKU_19,ST_30,27
SKU_3,ST_30,1
SKU_19,ST_31,15
SKU_11,ST_31,27
SKU_5,ST_31,26
SKU_14,ST_31,16
SKU_14,ST_32,22
SKU_11,ST_32,10
SKU_13,ST_32,13
SKU_5,ST_32,6
SKU_15,ST_32,2
SKU_5,ST_33,15
SKU_13,ST_33,28
SKU_14,ST_33,12
SKU_15,ST_33,9
SKU_15,ST_33,9
SKU_14,ST_34,17
SKU_15,ST_34,2
SKU_15,ST_34,1
SKU_14,ST_35,10
SKU_14,ST_36,20
