SHOP_ID,SHOP_NM_SHORT,QTY_SUM
30040,팩토리이천(직),7571
30025,신세계아울렛시흥(직),7225
10050,롯데본점,6444
30019,롯데아울렛김해(직),5691
30041,팩토리죽전(직),5199
10070,신세계강남,5173
10007,롯데부산,5105
30038,롯데아울렛기흥(직),4708
30044,현대아울렛송도(직),4357
30032,신세계아울렛파주(직),4253
30042,현대아울렛대전(직),4051
30045,현대아울렛스페이스원(직),4012
10018,롯데잠실,3945
30051,신세계아울렛여주(직),3662
30035,현대아울렛김포(직),3659
30039,신세계아울렛기장(직),3636
30016,롯데아울렛동부산(직),3520
50077,서수원(대-위),3511
30011,롯데아울렛수완(직),3402
30007,롯데아울렛이천(직),3360
50195,수원남문(대-위),3352
50185,모다경주(대-위),2944
30023,롯데아울렛파주(직),2889
50096,LF스퀘어양주(대-위),2884
50001,목포하당(대-위),2866
30024,롯데아울렛부여(직),2756
50023,순천연향(대-위),2695
10061,신세계대구,2668
30049,롯데아울렛의왕(직),2581
10069,현대킨텍스,2579
30020,롯데아울렛청주(직),2575
10047,마리오구로,2441
30046,LF스퀘어광양(직),2383
10096,롯데동탄,2355
30053,롯데아울렛남악(직),2342
50089,퍼스트빌리지(대-위),2308
10068,현대판교,2245
10077,신세계센텀,2233
50065,화성봉담(대-위),2184
10056,갤러리아진주,2151
10025,롯데노원,2101
10075,신세계본점,2080
10064,현대천호,2023
10003,롯데광복,2004
30054,롯데아울렛광주(직),1931
10011,롯데미아,1928
30033,롯데아울렛군산(직),1857
30010,롯데아울렛봉무(직),1817
50210,해남(대-위),1797
50118,서산(대-위),1791
50193,화순(대-위),1782
10087,롯데인천,1732
10097,신세계대전,1714
10046,갤러리아센터시티,1670
50186,영광(대-위),1623
50074,모다인천(대-위),1618
10021,신세계천안아산,1595
50205,NC강서(대-위),1570
50101,김포(대-위),1540
10027,롯데평촌,1515
30037,롯데아울렛율하(직),1505
10055,신세계광주,1488
50126,강릉(대-위),1487
10057,현대목동,1482
30043,스타필드안성(직),1468
10009,현대신촌,1447
50146,안산사동(대-위),1444
10091,갤러리아광교,1442
10035,신세계의정부,1416
50207,전주평화점(대-위),1416
50098,울산무거(대-위),1406
30030,스타필드고양(직),1398
50162,영주(대-위),1398
30034,현대아울렛가산(직),1391
30031,롯데아울렛원흥(직),1377
10038,롯데창원,1342
50180,동광양(대-위),1333
50121,청주성안(대-위)close,1323
10060,AK수원,1319
50063,스퀘어원(대-위),1318
50120,춘천(대-위),1308
50053,전주송천(대-위),1305
50179,나주(대-위),1301
10044,롯데구리,1297
10063,롯데전주,1269
10078,신세계김해,1242
10023,갤러리아대전,1221
50106,세정광주(대-위),1219
50134,광명점(대-위),1202
10053,신세계경기,1195
50151,속초(대-위),1193
10004,롯데영등포,1190
50007,에버세이브청주(대-위),1190
10079,신세계하남,1183
30028,광주상무(직),1164
30022,롯데아울렛진주(직),1162
10059,현대대구,1161
30015,타임스퀘어영등포(직),1154
10043,롯데울산,1154
50057,여천(대-위),1138
