SKU,PART_CD,COLOR_CD,SIZE_CD,SHOP_ID,ALLOCATED_QTY,SUPPLY_QTY,SKU_TYPE,STEP1_ASSIGNED
DMDJ85046_BGD_95,DMDJ85046,BGD,95,30019,103,230,abundant,0
DMDJ85046_BGD_95,DMDJ85046,BGD,95,10096,127,230,abundant,0
DMDJ85046_BGD_100,DMDJ85046,BGD,100,30024,186,400,abundant,0
DMDJ85046_BGD_100,DMDJ85046,BGD,100,10056,63,400,abundant,0
DMDJ85046_BGD_100,DMDJ85046,BGD,100,50057,151,400,abundant,0
DMDJ85046_BGD_105,DMDJ85046,BGD,105,30019,270,270,abundant,0
DMDJ85046_BGD_110,DMDJ85046,BGD,110,10053,100,100,abundant,0
DMDJ85046_BKS_95,DMDJ85046,BKS,95,30019,360,360,abundant,0
DMDJ85046_BKS_100,DMDJ85046,BKS,100,30019,467,920,abundant,0
DMDJ85046_BKS_100,DMDJ85046,BKS,100,50126,453,920,abundant,0
DMDJ85046_BKS_105,DMDJ85046,BKS,105,30019,800,800,abundant,0
DMDJ85046_BKS_110,DMDJ85046,BKS,110,30019,53,420,abundant,0
DMDJ85046_BKS_110,DMDJ85046,BKS,110,10077,367,420,abundant,0
DMDJ85046_IVD_95,DMDJ85046,IVD,95,10057,230,230,abundant,0
DMDJ85046_IVD_100,DMDJ85046,IVD,100,50180,400,400,abundant,0
DMDJ85046_IVD_105,DMDJ85046,IVD,105,50121,270,270,abundant,0
DMDJ85046_IVD_110,DMDJ85046,IVD,110,30019,100,100,abundant,0
DWDJ68046_BKS_85,DWDJ68046,BKS,85,30019,2126,2870,abundant,0
DWDJ68046_BKS_85,DWDJ68046,BKS,85,50186,347,2870,abundant,0
DWDJ68046_BKS_85,DWDJ68046,BKS,85,30031,397,2870,abundant,0
DWDJ68046_BKS_90,DWDJ68046,BKS,90,30019,7371,9820,abundant,0
DWDJ68046_BKS_90,DWDJ68046,BKS,90,30045,497,9820,abundant,0
DWDJ68046_BKS_90,DWDJ68046,BKS,90,50096,496,9820,abundant,0
